BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,NumberofBuildings,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,ENERGYSTARScore
NonResidential,Hotel,1925,9,104000,1.0,83.59999847,8690648.0,1219174.125,9522.769531,355.8,8.0
SPS-District K-12,K-12 School,1971,1,55206,1.0,42.5,2345752.5,398548.1875,9859.058594,61.84,75.0
NonResidential,Senior Care Community,1981,3,78374,1.0,56.59999847,3321035.75,973339.8125,0.0,23.15,98.0
Multifamily LR (1-4),Low-Rise Multifamily,1992,4,121037,1.0,29.29999924,2391566.25,700927.875,0.0,16.67,84.0
NonResidential,Mixed Use Property,2007,2,38784,1.0,54.70000076,1841154.25,455279.5938,2877.399902,26.11,70.125
Multifamily LR (1-4),Low-Rise Multifamily,1984,4,26568,1.0,21.79999924,578854.125,169652.4063,0.0,4.04,98.0
Multifamily MR (5-9),Mid-Rise Multifamily,2007,6,182494,1.0,29.20000076,5249190.0,933224.625,20650.26953,131.87,94.0
Multifamily MR (5-9),Mid-Rise Multifamily,2007,6,113462,1.0,19.10000038,2167888.25,635371.625,0.0,15.11,97.0
NonResidential,Other,1969,2,41790,1.0,52.09999847,2177075.0,522491.0938,3943.349854,33.37,64.875
NonResidential,Small- and Mid-Sized Office,1900,5,39960,1.0,54.5,2178690.5,417532.9063,7540.679688,49.98,77.0
NonResidential,Warehouse,1900,5,33300,1.0,3.0,90558.70313,26541.19922,0.0,0.63,93.5
NonResidential,Hotel,1926,11,36240,1.0,59.29999924,2147968.25,133748.5,5335.0,120.91,98.0
NonResidential,Other,1922,3,39320,1.0,77.40000153,3042875.5,280703.5938,9197.790039,145.48,54.75
Multifamily MR (5-9),Mid-Rise Multifamily,1907,5,41452,1.0,38.79999924,1606981.25,139333.9063,11315.74023,63.41,99.0
NonResidential,Other,1908,5,41536,1.0,65.90000153,2735166.0,801631.1875,0.0,19.07,50.875
Multifamily LR (1-4),Low-Rise Multifamily,1916,3,45320,0.0,72.80000305,3300549.25,334769.0938,21583.16992,122.59,57.0
