BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,NumberofBuildings,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,ENERGYSTARScore
NonResidential,Hotel,1927,12,88434,1.0,81.69999695,7226362.5,1156514.25,12764.5293,249.98,60.0
NonResidential,Hotel,1996,11,103566,1.0,94.80000305,8387933.0,950425.1875,51450.81641,295.86,61.0
NonResidential,Hotel,1926,10,61320,1.0,110.8000031,6794584.0,811525.3125,18112.13086,286.43,56.0
NonResidential,Hotel,1980,18,175580,1.0,114.8000031,14172606.0,1573448.625,88039.98438,505.01,75.0
Nonresidential COS,Other,1999,2,97288,1.0,136.1000061,12086616.0,2160443.75,47151.81641,301.81,59.625
NonResidential,Hotel,1926,11,83008,1.0,70.80000305,5758795.0,823919.875,29475.80078,176.14,27.0
NonResidential,Other,1926,8,102761,1.0,61.29999924,6298131.5,1065842.75,3851.890137,221.51,76.125
NonResidential,Hotel,1904,15,163984,1.0,83.69999695,13723820.0,2138897.75,64259.0,392.16,43.0
Multifamily MR (5-9),Mid-Rise Multifamily,1910,6,63712,1.0,81.5,4573777.0,742091.1875,10020.25977,151.12,1.0
NonResidential,Hotel,1969,11,153163,1.0,119.5999985,16016644.0,1813489.875,45918.5,691.26,30.0
NonResidential,Hotel,1998,25,333176,1.0,80.0,26941110.0,5299838.5,28586.99805,740.97,36.0
NonResidential,Hotel,1928,9,65009,1.0,101.5,6596057.5,393610.6875,35967.05078,328.23,48.0
NonResidential,Hotel,1980,33,315952,1.0,75.5,22325364.0,4075083.0,40834.39844,648.62,58.0
NonResidential,Hotel,1922,11,92190,1.0,159.5,10750010.0,1123203.125,20467.93359,511.39,35.0
Nonresidential COS,Other,2004,11,412000,1.0,50.79999924,18588860.0,5231916.0,0.0,181.38,55.375
NonResidential,Other,1930,6,103911,1.0,76.59999847,9956396.0,1305354.125,9101.799805,433.86,68.75
NonResidential,Hotel,1983,28,416281,1.0,96.30000305,33556756.0,6220773.0,123314.75,802.89,31.0
NonResidential,Mixed Use Property,1907,5,57452,1.0,132.3999939,7606084.5,1103397.125,20650.91211,273.02,58.375
NonResidential,Hotel,1916,10,104352,1.0,97.30000305,10154608.0,1731644.125,8153.759766,349.32,39.0
SPS-District K-12,K-12 School,1961,2,56228,1.0,26.10000038,1539478.5,274605.9063,6025.229004,38.53,95.0
NonResidential,Hotel,2001,6,88592,1.0,63.20000076,3663534.5,664194.375,13973.03027,90.01,84.0
NonResidential,University,1928,7,126593,1.0,90.69999695,11343686.0,1362096.75,66962.10938,388.04,68.25
NonResidential,Other,1930,2,67224,1.0,19.5,1310236.625,384008.3125,0.0,9.13,58.875
NonResidential,Hotel,1991,8,158676,1.0,45.5,5328051.5,167733.5,47557.44922,256.57,72.5
NonResidential,Hotel,2001,10,171866,1.0,85.80000305,11061916.0,1644403.75,54512.09766,328.63,57.0
SPS-District K-12,K-12 School,1955,1,126351,1.0,0.0,0.0,0.0,0.0,0.0,93.5
NonResidential,Hotel,1978,5,68410,1.0,92.90000153,4456714.5,687675.625,21103.65039,128.44,57.0
SPS-District K-12,K-12 School,1949,2,160645,1.0,41.29999924,6779173.0,570809.1875,48315.71875,270.18,75.0
SPS-District K-12,K-12 School,1989,2,51582,1.0,0.0,0.0,438691.6875,0.0,10.43,91.125
NonResidential,Small- and Mid-Sized Office,1906,3,87262,1.0,61.5,4145920.5,396495.6875,27930.77148,157.77,55.25
NonResidential,Hotel,1994,4,81871,1.0,81.5,6668568.5,884056.0,36521.69141,215.0,29.0
NonResidential,Self-Storage Facility,1955,2,110356,1.0,12.10000038,318364.8125,82434.0,371.0,3.93,87.0
NonResidential,Warehouse,1961,2,714095,3.0,46.40000153,44731160.0,13109951.0,0.0,311.84,90.5
SPS-District K-12,K-12 School,1990,2,54986,1.0,30.0,1650279.25,356855.0,4326.897461,31.47,97.0
SPS-District K-12,K-12 School,1950,2,175565,1.0,35.0,6399127.5,468840.5,47994.43359,266.05,88.0
NonResidential,Small- and Mid-Sized Office,1961,2,94900,1.0,65.19999695,6186461.5,1257791.75,18948.75977,130.56,57.0
NonResidential,Small- and Mid-Sized Office,1900,2,52554,1.0,50.09999847,2951331.25,462998.0,13715.82031,83.86,83.0
NonResidential,K-12 School,1954,3,175015,1.0,40.0,6994740.5,785386.6875,43150.00781,247.85,95.0
NonResidential,Self-Storage Facility,1911,3,70586,1.0,30.60000038,2158629.0,439691.9063,6584.0,45.43,81.875
NonResidential,Hotel,1969,24,332210,1.0,46.40000153,16163194.0,3576906.75,39587.86719,295.33,67.0
NonResidential,Large Office,1973,5,168115,1.0,56.29999924,9536161.0,2794888.75,0.0,66.48,78.0
NonResidential,Other,1920,2,57428,1.0,21.70000076,1247362.0,209536.5938,5324.230469,33.26,72.875
NonResidential,Small- and Mid-Sized Office,1910,8,59400,1.0,85.40000153,5071974.0,1486510.375,0.0,35.36,14.0
NonResidential,Mixed Use Property,1926,2,52549,1.0,286.3999939,15026196.0,1357696.125,103937.3672,584.31,40.375
NonResidential,Hotel,1930,20,98634,1.0,54.59999847,4841347.5,1257344.25,5512.879883,59.19,71.0
NonResidential,Hotel,1985,7,71150,1.0,93.09999847,5348309.0,950732.8125,21044.08008,134.38,98.0
NonResidential,Hotel,1908,7,122810,1.0,44.0,5401277.5,379121.0938,41077.16016,227.18,99.0
NonResidential,Hotel,1959,5,113173,1.0,74.80000305,5284343.5,863036.3125,23396.62891,144.79,86.0
NonResidential,Hotel,2000,7,150453,1.0,60.70000076,6715187.0,995342.5,33190.77734,199.95,84.0
NonResidential,Hotel,1997,6,116300,1.0,65.90000153,5827595.5,934483.3125,26391.38086,162.39,80.0
NonResidential,Hotel,1998,6,155602,1.0,43.90000153,6836900.0,1336148.125,22779.61914,152.76,81.0
NonResidential,K-12 School,1911,3,56072,1.0,57.70000076,3234787.75,161743.0938,26829.20117,146.34,76.0
NonResidential,Hotel,1999,4,122942,1.0,68.40000153,5337334.0,710354.5,29136.03906,171.64,94.0
NonResidential,Small- and Mid-Sized Office,1962,2,54984,1.0,61.40000153,3375211.0,579786.0,13969.80957,87.98,71.0
NonResidential,Senior Care Community,1970,2,93397,1.0,175.6000061,16402563.0,1664565.75,107230.6406,609.1,1.0
NonResidential,Hotel,2008,6,84103,1.0,58.5,3706100.25,824351.625,8934.120117,67.06,74.0
SPS-District K-12,K-12 School,1948,2,53352,1.0,0.0,0.0,176088.0938,0.0,4.19,93.5
NonResidential,Medical Office,1965,3,179014,0.0,93.30000305,16701055.0,2897562.75,68145.70313,430.84,48.0
NonResidential,Hotel,1908,7,76631,1.0,94.69999695,7258758.5,779819.0,45980.16016,262.75,71.0
NonResidential,Mixed Use Property,1983,6,99780,1.0,204.5,15473117.0,2973421.25,0.0,481.97,56.5
NonResidential,Retail Store,1929,2,58320,1.0,14.60000038,1049748.625,106038.5,6879.452148,39.06,96.0
NonResidential,Large Office,2010,5,316306,1.0,48.0,13795954.0,3772301.0,9248.610352,138.85,96.0
NonResidential,Hotel,1990,7,282863,1.0,82.5,19459304.0,3218245.0,84786.50781,526.85,37.0
Nonresidential COS,Other,1962,1,389000,1.0,64.30000305,23658978.0,4226010.0,6886.799805,607.41,60.0
Nonresidential COS,Other,1962,1,91213,1.0,125.1999969,8141155.5,1100268.125,0.0,344.2,70.75
Nonresidential COS,Other,1938,5,396085,1.0,75.19999695,20955026.0,2125534.75,0.0,804.2,47.25
NonResidential,Large Office,2010,12,571329,1.0,63.40000153,39605888.0,9439097.0,73996.85156,617.52,91.0
Nonresidential COS,Other,1962,2,52000,1.0,52.40000153,2726369.0,379058.9063,0.0,101.83,41.25
Nonresidential COS,Other,1928,1,60696,1.0,8.100000381,875943.3125,256724.2969,0.0,6.11,56.875
Nonresidential COS,Other,1928,2,262048,1.0,70.0,20723248.0,3960341.75,0.0,490.73,50.75
NonResidential,Small- and Mid-Sized Office,1986,2,66240,0.0,74.90000153,4166306.25,1221074.25,0.0,29.04,67.0
NonResidential,Large Office,2010,6,920598,1.0,49.79999924,36667044.0,8088294.5,90697.79688,674.09,93.0
NonResidential,Small- and Mid-Sized Office,1970,4,76213,1.0,68.19999695,3476212.5,863039.875,5315.200195,48.76,68.0
NonResidential,Hotel,2002,6,96910,1.0,86.0,5155568.5,772863.625,25185.58008,152.14,56.0
NonResidential,Hotel,1962,4,50017,2.0,108.9000015,5448975.0,623770.6875,33206.69141,191.2,53.0
SPS-District K-12,K-12 School,1999,3,74468,1.0,0.0,0.0,497706.8125,0.0,11.84,91.125
NonResidential,K-12 School,1923,3,67743,1.0,39.09999847,2646879.0,392082.5938,13090.93066,78.85,34.0
NonResidential,K-12 School,1908,6,194104,1.0,32.0,6219841.5,553309.6875,43319.48828,243.23,100.0
NonResidential,Small- and Mid-Sized Office,2003,3,99433,1.0,76.90000153,4897760.0,1435451.25,0.0,34.14,63.0
SPS-District K-12,K-12 School,1991,2,58933,1.0,0.0,0.0,687906.875,0.0,16.36,86.25
SPS-District K-12,K-12 School,1957,1,130862,1.0,48.0,6456026.0,663194.5,41932.06641,238.48,61.0
SPS-District K-12,K-12 School,1989,3,59955,1.0,27.20000076,1633399.375,420989.4063,1969.83252,20.48,93.0
SPS-District K-12,K-12 School,1964,2,93218,1.0,31.0,2887392.0,435743.8125,14006.33984,84.75,86.0
NonResidential,Other,1941,4,56521,1.0,129.6999969,6357632.0,1863315.125,0.0,44.32,71.25
NonResidential,Other,1929,2,206934,1.0,35.70000076,4253577.5,586489.8125,22524.74023,133.58,56.0
NonResidential,Hotel,2001,4,51390,1.0,70.30000305,3611538.0,409815.0,22132.49023,127.29,89.0
SPS-District K-12,K-12 School,1963,2,131013,1.0,29.5,3894584.5,520365.6875,21190.9668,124.92,88.0
SPS-District K-12,K-12 School,1959,1,245587,1.0,47.90000153,11765682.0,1150648.125,78396.69531,443.73,92.0
NonResidential,Hotel,2002,3,69138,1.0,45.90000153,3242458.0,528396.6875,14395.68164,89.02,78.0
SPS-District K-12,K-12 School,1991,3,66588,1.0,0.0,0.0,616730.8125,0.0,14.67,92.125
NonResidential,Hotel,1904,5,190980,1.0,34.09999847,6505995.0,1290419.25,21030.83984,142.39,98.0
Nonresidential COS,Other,1998,6,284100,1.0,77.19999695,14641502.0,2873101.25,5273.430176,429.12,65.0
SPS-District K-12,K-12 School,1991,2,55513,1.0,25.60000038,1513570.75,443602.1875,0.0,10.55,93.0
Nonresidential COS,Other,2006,4,61156,1.0,130.1000061,9363374.0,2036128.25,24161.04102,176.75,54.375
NonResidential,Other,1910,4,72820,1.0,34.70000076,2010454.625,384428.3125,6987.850098,46.26,61.5
NonResidential,Hotel,1996,4,162222,1.0,69.90000153,7946961.0,1230205.625,37494.98828,228.4,76.0
SPS-District K-12,K-12 School,1990,4,289588,1.0,30.5,8819852.0,1890317.75,23700.86328,170.84,90.0
NonResidential,University,1915,3,63330,1.0,47.20000076,3059758.0,560100.6875,11486.94043,74.33,63.0
Campus,University,1970,2,441071,27.0,79.30000305,38301744.0,7419277.5,129871.6641,866.23,43.0
NonResidential,Small- and Mid-Sized Office,2002,2,96300,1.0,167.8000031,16319835.0,4095456.0,23461.37109,222.02,85.25
Nonresidential COS,Other,1950,1,67356,1.0,109.4000015,7475577.5,1225674.375,32935.76172,204.08,61.75
SPS-District K-12,K-12 School,2008,3,254523,1.0,53.29999924,13567774.0,2296326.25,57327.08203,359.09,60.0
SPS-District K-12,K-12 School,2001,3,78804,1.0,31.70000076,2499140.0,482184.6875,8539.256836,56.82,92.0
SPS-District K-12,K-12 School,2002,3,66994,1.0,35.40000153,2371304.5,534831.5,5464.591797,41.74,79.0
SPS-District K-12,K-12 School,2000,3,98357,1.0,35.09999847,3456131.5,564791.125,15290.64063,94.64,88.0
NonResidential,Small- and Mid-Sized Office,1958,1,54765,1.0,83.80000305,4253369.5,1046112.813,6840.320313,61.21,52.625
NonResidential,Other,2009,5,89821,1.0,21.89999962,1950092.5,19771.90039,18826.30859,100.46,60.75
NonResidential,University,1980,2,52611,1.0,78.30000305,4116871.5,726633.375,16375.97852,104.26,63.375
NonResidential,Residence Hall,2001,4,139600,1.0,32.79999924,4448582.5,678868.1875,21322.83984,129.39,89.0
SPS-District K-12,K-12 School,2011,2,236758,1.0,35.0,8355988.5,1403853.5,35660.39453,222.78,96.0
NonResidential,Other,1971,6,250981,3.0,60.5,13071700.0,2390094.5,5801.719727,422.39,55.625
SPS-District K-12,K-12 School,2002,3,62526,1.0,31.79999924,1986094.875,326608.6875,8717.058594,54.07,96.0
NonResidential,Small- and Mid-Sized Office,2007,3,64015,1.0,60.0,3242077.75,778834.0,5846.959961,49.58,21.0
NonResidential,Retail Store,1951,1,530039,1.0,52.29999924,27717034.0,4755137.5,114925.0313,723.47,98.0
NonResidential,Other,1964,3,54224,1.0,154.5,7265178.0,980312.8125,39203.50391,231.53,54.75
NonResidential,Retail Store,1965,4,124342,1.0,71.90000153,8765978.0,2536231.25,1123.560059,66.3,76.0
NonResidential,Other,1996,3,55442,1.0,85.59999847,3191228.25,544942.8125,13318.83008,83.7,72.0
SPS-District K-12,K-12 School,1999,2,242795,1.0,37.70000076,9157150.0,2303477.0,12976.84766,123.71,80.0
NonResidential,Self-Storage Facility,1910,5,84870,1.0,16.20000076,1381590.125,141452.2031,8989.550781,51.11,73.75
Campus,University,1970,2,694072,11.0,53.79999924,35891484.0,9803878.0,24406.47852,362.82,64.125
SPS-District K-12,K-12 School,1952,2,173185,1.0,35.40000153,6127771.5,527763.0,43270.4375,242.36,79.0
SPS-District K-12,K-12 School,1963,1,145341,1.0,39.5,5499097.0,546590.625,36341.29688,206.01,75.0
NonResidential,Warehouse,1904,4,114297,1.0,18.39999962,2100097.75,267431.0,11876.22949,69.44,61.0
SPS-District K-12,K-12 School,1960,2,184125,1.0,47.79999924,8800292.0,879209.3125,58004.30078,328.97,86.0
SPS-District K-12,K-12 School,1959,1,160270,1.0,0.0,0.0,0.0,43189.17188,229.38,93.5
NonResidential,Warehouse,1937,1,234144,1.0,28.79999924,6744317.0,385937.0,54275.0,297.43,87.0
NonResidential,Retail Store,1966,1,64984,1.0,45.0,2944296.25,766027.8125,3306.090088,35.78,72.0
NonResidential,Retail Store,1965,1,67745,1.0,136.1999969,9230223.0,769080.3125,66061.21094,369.14,37.0
SPS-District K-12,K-12 School,2010,2,367884,1.0,33.29999924,12265516.0,2404753.75,40604.95703,272.85,97.0
SPS-District K-12,K-12 School,1958,1,46797,1.0,44.40000153,2075891.0,233647.0938,12786.87207,73.47,86.0
SPS-District K-12,K-12 School,1963,3,136188,1.0,0.0,0.0,0.0,32178.77344,170.9,93.5
NonResidential,Other,1973,3,56000,1.0,33.09999847,1851260.5,247615.5938,10063.95996,59.34,59.25
SPS-District K-12,K-12 School,2004,2,67371,1.0,31.60000038,2128459.0,423604.5938,6831.19873,46.36,92.0
NonResidential,Self-Storage Facility,1969,2,52088,1.0,26.39999962,1377519.5,153506.7031,8537.545898,48.99,72.5
SPS-District K-12,K-12 School,2010,3,127776,1.0,37.20000076,4748137.0,1093179.875,10182.06738,80.08,75.0
NonResidential,Hotel,1998,5,123920,1.0,75.59999847,9373179.0,1195550.25,52939.60938,309.6,79.0
Nonresidential COS,Other,1900,1,50000,1.0,175.6000061,7548807.0,1113108.0,37508.82031,225.69,60.875
Nonresidential COS,Warehouse,1926,2,50292,1.0,8.0,430473.6875,126164.6016,0.0,3.0,75.125
NonResidential,Hotel,1998,7,207656,1.0,78.90000153,11171988.0,1620980.875,56412.00391,338.16,76.0
SPS-District K-12,K-12 School,1999,2,67235,1.0,34.0,2284133.75,458595.4063,7194.061523,49.12,89.0
Nonresidential COS,Small- and Mid-Sized Office,1957,2,91130,1.0,100.5,9472358.0,2079127.75,23783.73047,175.77,50.625
SPS-District K-12,K-12 School,1991,3,58118,1.0,23.79999924,1407277.25,339524.3125,2488.200928,21.29,97.0
NonResidential,Hotel,1968,4,64893,1.0,95.5,6197825.0,768038.625,35772.76953,208.26,70.0
SPS-District K-12,K-12 School,1989,2,52792,1.0,0.0,0.0,0.0,0.0,0.0,93.5
SPS-District K-12,K-12 School,1925,1,70762,1.0,51.0,3606416.0,143935.0,31153.0957,168.88,87.0
NonResidential,Small- and Mid-Sized Office,1900,3,44558,1.0,37.59999847,1677002.25,386177.4063,3593.650146,28.27,78.0
NonResidential,Other,1999,6,1585960,1.0,37.70000076,59757440.0,14490010.0,103175.1797,892.63,75.0
Nonresidential COS,Distribution Center,1924,2,179161,1.0,52.20000076,9436408.0,2570956.75,6643.02002,96.43,75.625
Nonresidential COS,Warehouse,1965,2,58640,1.0,55.90000153,3928695.25,1151434.625,0.0,27.39,60.25
NonResidential,Other,1999,3,1172127,1.0,50.09999847,58761304.0,11905739.0,181389.2031,1246.55,69.5
NonResidential,Hotel,2005,9,168449,1.0,88.19999695,12726789.0,1826563.0,64945.55078,388.37,64.0
NonResidential,Warehouse,1916,4,79600,0.0,30.29999924,2411402.25,706741.5,0.0,16.81,34.0
SPS-District K-12,K-12 School,1997,4,241066,1.0,32.29999924,7791957.0,907478.3125,46956.40625,270.97,79.0
Campus,Large Office,1980,2,334368,14.0,159.8999939,53466684.0,13282936.0,81453.0,748.55,84.25
NonResidential,Other,2008,6,419848,1.0,107.8000031,9134963.0,2050189.25,21397.16016,162.41,71.375
NonResidential,Mixed Use Property,2002,4,110785,1.0,95.30000305,10557910.0,2971733.5,4183.540039,92.91,62.125
Multifamily MR (5-9),Mid-Rise Multifamily,2003,7,116947,1.0,79.90000153,10040121.0,1612727.625,45374.94141,279.35,69.375
SPS-District K-12,K-12 School,1999,1,71714,1.0,33.09999847,2371358.0,569817.125,4271.419434,36.24,87.0
NonResidential,Warehouse,1991,3,75397,1.0,8.199999809,549181.375,124086.0,1258.0,9.63,91.0
NonResidential,Senior Care Community,1999,5,102796,1.0,98.30000305,10105379.0,2177261.5,26765.61133,193.94,50.25
SPS-District K-12,K-12 School,2002,2,208981,1.0,39.09999847,8164853.0,1434598.625,32700.02148,207.79,80.0
Multifamily MR (5-9),Mid-Rise Multifamily,1909,6,51976,1.0,83.19999695,4189569.25,490372.4063,25164.1875,145.31,34.0
NonResidential,K-12 School,1928,2,55653,1.0,24.79999924,1377627.0,1798.900024,13714.89063,72.88,98.0
NonResidential,Hotel,1931,16,106860,1.0,111.6999969,11935719.0,1043886.875,83739.75781,469.57,49.0
NonResidential,Small- and Mid-Sized Office,1972,5,50759,1.0,62.0,3147042.0,749863.125,5885.089844,49.09,62.0
NonResidential,Worship Facility,1952,2,56772,1.0,43.0,2439484.75,285789.1875,14643.7207,84.57,46.0
NonResidential,Worship Facility,1952,3,103000,1.0,47.09999847,4854429.5,685356.0,25159.94531,149.93,42.0
SPS-District K-12,K-12 School,2006,3,269297,1.0,39.0,10498344.0,2111361.25,32943.78516,225.19,80.0
SPS-District K-12,K-12 School,2001,3,75174,1.0,36.40000153,2733846.0,465868.5,11443.02246,71.86,77.0
SPS-District K-12,K-12 School,2003,3,75214,1.0,31.0,2334260.0,508113.9063,6005.752441,43.98,88.0
SPS-District K-12,K-12 School,2005,3,134918,1.0,28.29999924,3822102.5,848506.625,9269.976563,69.42,91.0
SPS-District K-12,K-12 School,1991,2,64414,1.0,35.09999847,2295176.5,672677.6875,0.0,16.0,67.0
SPS-District K-12,K-12 School,1927,3,92437,1.0,50.0,4626443.0,283665.3125,36585.76953,201.05,78.0
NonResidential,Other,1914,7,128766,1.0,47.0,6057410.0,1680143.5,3247.596436,57.21,46.375
NonResidential,Residence Hall,1913,9,107572,1.0,54.79999924,5572503.0,731552.1875,0.0,254.87,76.0
NonResidential,Other,1955,15,230880,1.0,306.3999939,62197176.0,18228948.0,0.0,433.6,69.0
Multifamily LR (1-4),Low-Rise Multifamily,1917,4,56617,1.0,35.09999847,1986611.375,349325.6875,7947.119629,50.52,15.0
Multifamily MR (5-9),Mid-Rise Multifamily,2009,6,56745,1.0,56.59999847,2473962.5,455824.8125,9186.879883,59.63,54.0
Multifamily LR (1-4),Low-Rise Multifamily,2003,4,67920,1.0,63.09999847,2772124.75,784061.125,969.0799561,23.8,61.375
SPS-District K-12,K-12 School,2007,3,204961,1.0,40.0,8190809.0,1327293.75,36620.82031,226.06,94.0
NonResidential,Other,1973,1,76086,1.0,42.0,3267564.0,458196.3125,17041.97852,101.41,69.625
NonResidential,Medical Office,1927,5,190000,1.0,183.5,28731502.0,5493974.5,99860.58594,661.04,1.0
NonResidential,Hotel,1961,4,122309,1.0,208.1000061,25453690.0,1853028.5,191311.5469,1060.13,8.0
Campus,Other,1995,3,215476,4.0,110.5999985,24017770.0,4041281.75,102289.1641,639.39,60.625
NonResidential,Hotel,2003,8,254273,1.0,96.19999695,26659244.0,4033863.5,128957.0,780.84,29.0
Nonresidential COS,Other,1980,2,69400,1.0,213.6999969,14833476.0,3087447.25,42991.03906,301.76,61.625
NonResidential,Mixed Use Property,1900,1,62900,1.0,158.3000031,10394330.0,1110179.625,66063.96875,377.27,49.0
NonResidential,Small- and Mid-Sized Office,1914,4,56500,1.0,34.5,1380293.625,260120.7031,0.0,44.22,98.0
NonResidential,Warehouse,2008,4,203504,1.0,18.60000038,3785282.5,1109402.75,0.0,26.39,72.0
NonResidential,Large Office,1968,3,100734,0.0,97.19999695,9788717.0,2868908.5,0.0,68.24,20.0
NonResidential,Small- and Mid-Sized Office,1981,4,77662,1.0,80.59999847,5007401.0,1256184.75,7212.97998,68.19,57.0
NonResidential,Large Office,1978,12,234000,1.0,89.40000153,18661606.0,5347641.0,4154.516113,149.27,39.0
NonResidential,Large Office,1989,25,369996,1.0,64.5,24755086.0,7255300.0,0.0,172.58,74.0
NonResidential,Retail Store,1925,10,693450,1.0,57.79999924,40062888.0,10989762.0,25445.83984,398.19,93.0
NonResidential,Large Office,1976,33,791396,1.0,60.29999924,40847752.0,11969413.0,5382.505371,313.3,89.0
NonResidential,Large Office,2000,23,747747,1.0,56.20000076,30985420.0,8172315.0,31014.76953,359.11,90.0
NonResidential,Small- and Mid-Sized Office,1926,10,63409,1.0,66.90000153,3444270.0,397961.5938,0.0,170.51,90.0
NonResidential,Large Office,1930,17,204790,1.0,44.5,7739699.0,1974231.0,10036.21973,100.26,91.0
NonResidential,Small- and Mid-Sized Office,1916,5,73399,1.0,61.09999847,3757006.0,1101115.25,0.0,26.19,61.0
NonResidential,Large Office,1969,20,265851,1.0,64.59999847,14633233.0,2363540.25,0.0,563.25,90.0
NonResidential,Large Office,2009,25,758043,1.0,46.40000153,27018020.0,7658746.5,8863.726563,229.25,95.0
NonResidential,Large Office,1968,12,206000,1.0,53.29999924,8580279.0,1836981.625,0.0,222.19,91.0
NonResidential,Large Office,2009,36,824887,1.0,53.20000076,39523852.0,11583777.0,0.0,275.54,97.0
NonResidential,Large Office,1990,16,480840,1.0,52.70000076,17867002.0,5197326.0,1337.241333,130.73,94.0
NonResidential,Small- and Mid-Sized Office,1900,7,89550,1.0,47.70000076,3903259.75,1041873.5,0.0,51.67,85.0
NonResidential,Small- and Mid-Sized Office,1900,6,89355,1.0,46.79999924,4178233.5,1206506.75,616.3200073,31.97,66.0
NonResidential,Large Office,1922,15,388934,1.0,47.79999924,18576900.0,5095121.0,0.0,213.23,89.0
NonResidential,Large Office,1929,22,384302,1.0,28.39999962,10062436.0,2949131.0,0.0,70.15,98.0
NonResidential,Large Office,1958,17,378525,1.0,105.1999969,24906132.0,4098787.75,0.0,940.47,69.0
NonResidential,Large Office,1983,47,1323055,1.0,42.59999847,44683660.0,13048606.0,1618.117065,318.97,94.0
NonResidential,Large Office,1986,41,589921,1.0,51.20000076,24603420.0,7210849.0,0.0,171.52,84.0
NonResidential,Small- and Mid-Sized Office,1950,6,91091,1.0,20.5,1835804.875,397133.9063,0.0,46.56,60.25
NonResidential,Large Office,1968,8,157941,1.0,44.09999847,3743228.5,1097077.25,0.0,26.1,81.0
NonResidential,Large Office,1991,29,635303,1.0,34.90000153,18221224.0,5287365.0,0.0,139.72,95.0
NonResidential,Large Office,1958,6,172842,1.0,297.3999939,41399504.0,11663150.0,16048.30957,362.66,94.0
NonResidential,Large Office,1980,34,776762,1.0,53.70000076,32552428.0,9512705.0,950.7598877,231.32,81.0
NonResidential,Large Office,1972,14,186768,1.0,52.70000076,9641043.0,2194040.0,0.0,218.53,95.0
NonResidential,Large Office,1969,49,1123435,1.0,52.70000076,45163308.0,11248209.0,67844.14844,627.87,89.0
NonResidential,Large Office,2002,37,1052469,1.0,46.29999924,41213584.0,12079009.0,0.0,287.32,93.0
NonResidential,Large Office,1907,8,201480,1.0,44.29999924,8921778.0,2140038.0,0.0,175.95,91.0
Nonresidential COS,Large Office,1990,63,1354987,1.0,50.40000153,61576184.0,18046946.0,0.0,429.27,89.0
Nonresidential COS,Large Office,2001,14,310490,1.0,71.0,21169502.0,4725684.5,50454.64844,380.37,49.125
Nonresidential COS,Large Office,2003,8,199530,1.0,73.19999695,13214416.0,2561244.0,44754.50781,298.61,69.0
NonResidential,Large Office,2006,13,372242,1.0,43.29999924,13843866.0,3296889.25,25948.78125,216.24,98.0
NonResidential,Large Office,1909,7,114395,1.0,28.39999962,2746560.75,480858.5,11058.71094,70.17,99.0
NonResidential,Retail Store,1978,2,89200,1.0,72.40000153,6461937.0,1611701.375,9628.110352,89.47,83.0
NonResidential,Large Office,1971,23,474546,1.0,60.0,28450436.0,8338345.0,0.0,198.34,77.0
NonResidential,Small- and Mid-Sized Office,1961,5,99005,0.0,59.40000153,4728488.5,839159.3125,18652.76563,119.03,70.0
NonResidential,Large Office,2002,6,135051,1.0,46.09999847,4426136.0,1297226.125,0.0,30.86,88.0
NonResidential,Large Office,2002,5,220649,1.0,48.29999924,7046345.5,2065165.5,0.0,49.12,93.0
NonResidential,Self-Storage Facility,1964,5,93660,1.0,9.300000191,873221.875,255926.7031,0.0,6.09,57.125
NonResidential,Large Office,1980,18,413715,1.0,69.59999847,24224888.0,7099908.0,0.0,168.88,79.0
NonResidential,Mixed Use Property,2000,11,381381,1.0,48.40000153,9765777.0,2834648.75,939.5400391,72.42,94.0
NonResidential,Large Office,1988,20,497513,1.0,73.0,26823218.0,7796691.0,2209.050049,197.19,65.0
NonResidential,Large Office,1979,24,543876,1.0,59.70000076,25307744.0,7417274.5,0.0,176.43,79.0
NonResidential,Mixed Use Property,1980,4,109347,1.0,116.3000031,8218155.5,2193628.0,7334.959961,91.13,59.5
NonResidential,Large Office,1982,6,396626,1.0,74.30000305,20361158.0,5967513.5,0.0,141.95,64.0
NonResidential,Large Office,2002,6,287471,1.0,74.90000153,14913424.0,4370874.0,0.0,103.97,74.0
NonResidential,Large Office,1947,3,192630,1.0,36.70000076,5357833.0,1515135.25,1881.909668,46.03,94.0
NonResidential,Large Office,1984,8,253103,1.0,161.1999969,29949248.0,8777621.0,0.0,208.79,3.0
NonResidential,Supermarket / Grocery Store,1956,1,60880,1.0,231.8000031,14293972.0,2381365.25,61687.52734,384.27,54.0
NonResidential,Small- and Mid-Sized Office,1900,5,50176,1.0,46.59999847,2933288.75,831375.875,966.3400269,24.91,77.0
NonResidential,Large Office,1912,42,304346,1.0,88.40000153,23262244.0,3294180.5,110080.7734,741.3,72.0
NonResidential,Warehouse,1977,1,128800,1.0,14.0,1809101.5,108982.8984,14372.51855,78.92,97.0
NonResidential,Large Office,1927,8,321945,1.0,60.40000153,13656587.0,2917923.75,0.0,355.05,76.0
NonResidential,Large Office,1964,22,336330,1.0,71.90000153,18967014.0,3849416.0,4621.937012,530.66,77.0
NonResidential,Large Office,1960,21,298426,1.0,90.69999695,27076922.0,4195765.0,0.0,1084.79,79.0
NonResidential,Large Office,1976,42,635824,1.0,62.90000153,48479988.0,14208670.0,0.0,337.97,69.0
